Reference, Value, Footprint, Datasheet
M2,3mm-mounting-hole,MountingHole:MountingHole_3.2mm_M3_DIN965,
M3,3mm-mounting-hole,MountingHole:MountingHole_3.2mm_M3_DIN965,
M4,3mm-mounting-hole,MountingHole:MountingHole_3.2mm_M3_DIN965,
U3,74HC670,Package_DIP:DIP-16_W7.62mm_Socket,
U7,74HC670,Package_DIP:DIP-16_W7.62mm_Socket,
U2,DS1315,Package_DIP:DIP-16_W7.62mm_Socket,
U8,ATF22V10C,Package_DIP:DIP-24_W7.62mm,
U6,AS6C4008,Package_DIP:DIP-32_W15.24mm,
U4,mightycore-atmega1284p,Package_DIP:DIP-40_W15.24mm_Socket,
U5,IDT7130,Package_DIP:DIP-48_W15.24mm_Socket,
U9,CH340C,Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,https://datasheet.lcsc.com/szlcsc/Jiangsu-Qin-Heng-CH340C_C84681.pdf
U1,AMS1117-3.3,Package_TO_SOT_SMD:SOT-223-3_TabPin2,http://www.advanced-monolithic.com/pdf/ds1117.pdf
Q1,BSS138,Package_TO_SOT_SMD:SOT-23,https://www.onsemi.com/pub/Collateral/BSS138-D.PDF
Q2,BSS138,Package_TO_SOT_SMD:SOT-23,https://www.onsemi.com/pub/Collateral/BSS138-D.PDF
Q3,BSS138,Package_TO_SOT_SMD:SOT-23,https://www.onsemi.com/pub/Collateral/BSS138-D.PDF
Q4,BSS138,Package_TO_SOT_SMD:SOT-23,https://www.onsemi.com/pub/Collateral/BSS138-D.PDF
Q5,BSS138,Package_TO_SOT_SMD:SOT-23,https://www.onsemi.com/pub/Collateral/BSS138-D.PDF
Q6,BSS138,Package_TO_SOT_SMD:SOT-23,https://www.onsemi.com/pub/Collateral/BSS138-D.PDF
Q7,BSS138,Package_TO_SOT_SMD:SOT-23,https://www.onsemi.com/pub/Collateral/BSS138-D.PDF
Q8,BSS138,Package_TO_SOT_SMD:SOT-23,https://www.onsemi.com/pub/Collateral/BSS138-D.PDF
Q9,BSS138,Package_TO_SOT_SMD:SOT-23,https://www.onsemi.com/pub/Collateral/BSS138-D.PDF
R15,100,Resistor_SMD:R_0805_2012Metric,~
R18,100,Resistor_SMD:R_0805_2012Metric,~
R19,100,Resistor_SMD:R_0805_2012Metric,~
R10,1000,Resistor_SMD:R_0805_2012Metric,~
R9,1000,Resistor_SMD:R_0805_2012Metric,~
R14,10000,Resistor_SMD:R_0805_2012Metric,~
R1,10k,Resistor_SMD:R_0805_2012Metric,~
R11,10k,Resistor_SMD:R_0805_2012Metric,~
R12,10k,Resistor_SMD:R_0805_2012Metric,~
R13,10k,Resistor_SMD:R_0805_2012Metric,~
R16,10k,Resistor_SMD:R_0805_2012Metric,~
R17,10k,Resistor_SMD:R_0805_2012Metric,~
R2,10k,Resistor_SMD:R_0805_2012Metric,~
R3,10k,Resistor_SMD:R_0805_2012Metric,~
R4,10k,Resistor_SMD:R_0805_2012Metric,~
R5,10k,Resistor_SMD:R_0805_2012Metric,~
R6,10k,Resistor_SMD:R_0805_2012Metric,~
R7,10k,Resistor_SMD:R_0805_2012Metric,~
R8,10k,Resistor_SMD:R_0805_2012Metric,~
BT1,Battery_Cell,wilson-z80:BS-01-A4CJ004,~
J9,SD_Card,wilson-z80:SD_Card_ XUNPU_SD-101,http://portal.fciconnect.com/Comergent//fci/drawing/10067847.pdf
