Reference, Value, Footprint, Datasheet, Mouser
"J1","Floppy-header","Connector_PinHeader_2.54mm:PinHeader_2x17_P2.54mm_Vertical",""
"U25","4518","Package_SO:SOP-16_3.9x9.9mm_P1.27mm","http://www.intersil.com/content/dam/Intersil/documents/cd45/cd4518bms-20bms.pdf","595-CD4518BM"
"U24","74LS74","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","74xx/74hc_hct74.pdf","863-MC74HCT74ADR2G "
"R33","10K","Resistor_SMD:R_0805_2012Metric","~"
"R34","10K","Resistor_SMD:R_0805_2012Metric","~"
"U27","4518","Package_SO:SOP-16_3.9x9.9mm_P1.27mm","http://www.intersil.com/content/dam/Intersil/documents/cd45/cd4518bms-20bms.pdf","595-CD4518BM"
"U28","4518","Package_SO:SOP-16_3.9x9.9mm_P1.27mm","http://www.intersil.com/content/dam/Intersil/documents/cd45/cd4518bms-20bms.pdf","595-CD4518BM"
"U29","74LS74","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","74xx/74hc_hct74.pdf","863-MC74HCT74ADR2G "
"R39","10K","Resistor_SMD:R_0805_2012Metric","~"
"R15","150","Resistor_SMD:R_0805_2012Metric","~"
"R16","150","Resistor_SMD:R_0805_2012Metric","~"
"R14","150","Resistor_SMD:R_0805_2012Metric","~"
"U16","74LS00","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/gpn/sn74ls00","595-SN74HCT00DE4 "
"U1","74LS00","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/gpn/sn74ls00","595-SN74HCT00DE4 "
"U21","74LS74","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","74xx/74hc_hct74.pdf","863-MC74HCT74ADR2G "
"U23","74LS157","Package_SO:SOP-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS157","595-SN74HCT157D "
"U22","74LS175","Package_SO:SOP-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS175","595-CD74HCT175M "
"R20","10K","Resistor_SMD:R_0805_2012Metric","~"
"C22","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C46","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C9","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C10","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C23","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C24","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C25","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C26","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C27","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C28","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C29","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C30","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C31","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C32","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C33","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C34","100n","Capacitor_SMD:C_0805_2012Metric","~"
"D2","2793","LED_THT:LED_D3.0mm","~"
"R13","150","Resistor_SMD:R_0805_2012Metric","~"
"R22","470","Resistor_SMD:R_0805_2012Metric","~"
"R24","470","Resistor_SMD:R_0805_2012Metric","~"
"D4","DDEN","LED_THT:LED_D3.0mm","~"
"R25","470","Resistor_SMD:R_0805_2012Metric","~"
"R26","470","Resistor_SMD:R_0805_2012Metric","~"
"D5","PRE","LED_THT:LED_D3.0mm","~"
"R27","470","Resistor_SMD:R_0805_2012Metric","~"
"D6","D0","LED_THT:LED_D3.0mm","~"
"R28","470","Resistor_SMD:R_0805_2012Metric","~"
"D7","D1","LED_THT:LED_D3.0mm","~"
"R29","470","Resistor_SMD:R_0805_2012Metric","~"
"D8","D2","LED_THT:LED_D3.0mm","~"
"R30","470","Resistor_SMD:R_0805_2012Metric","~"
"D9","D3","LED_THT:LED_D3.0mm","~"
"R31","470","Resistor_SMD:R_0805_2012Metric","~"
"D10","MOTOR","LED_THT:LED_D3.0mm","~"
"R32","470","Resistor_SMD:R_0805_2012Metric","~"
"D11","SIDE1","LED_THT:LED_D3.0mm","~"
"C12","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C11","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C35","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C36","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C37","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C38","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C39","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C40","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C41","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C42","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C43","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C44","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C8","60pF","Capacitor_THT:C_Rect_L7.0mm_W6.0mm_P5.00mm","~"
"C3","33uF","Capacitor_SMD:C_0805_2012Metric","~"
"R2","4K7","Resistor_SMD:R_0805_2012Metric","~"
"U2","74LS08","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS08"
"C2","33uF","Capacitor_SMD:C_0805_2012Metric","~"
"C1","33uF","Capacitor_SMD:C_0805_2012Metric","~"
"R21","10K","Resistor_SMD:R_0805_2012Metric","~"
"J5","5V","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"JP9","M1","Jumper:SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm","~"
"JP8","M3","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
"R19","10K","Resistor_SMD:R_0805_2012Metric","~"
"JP6","2793","Jumper:SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm","~"
"JP7","1771","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
"R17","10K","Resistor_SMD:R_0805_2012Metric","~"
"R18","10K","Resistor_SMD:R_0805_2012Metric","~"
"JP5","SD","Jumper:SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm","~"
"JP4","DD","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
"R10","10K","Resistor_SMD:R_0805_2012Metric","~"
"JP3","SD","Jumper:SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm","~"
"JP2","DD","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
"R12","10K","Resistor_SMD:R_0805_2012Metric","~"
"R9","10K","Resistor_SMD:R_0805_2012Metric","~"
"X1","SG-7050CAN","Oscillator:Oscillator_SMD_SeikoEpson_SG8002CA-4Pin_7.0x5.0mm","https://support.epson.biz/td/api/doc_check.php?dl=brief_SG7050CAN&lang=en"
"JP11","CLKINT","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"D3","WD1771","LED_THT:LED_D3.0mm","~"
