Reference, Value, Footprint, Datasheet, Mouser
U27,74LS74,Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,74xx/74hc_hct74.pdf,863-MC74HCT74ADR2G 
U10,4518,Package_SO:SOP-16_3.9x9.9mm_P1.27mm,http://www.intersil.com/content/dam/Intersil/documents/cd45/cd4518bms-20bms.pdf,595-CD4518BM
U8,4518,Package_SO:SOP-16_3.9x9.9mm_P1.27mm,http://www.intersil.com/content/dam/Intersil/documents/cd45/cd4518bms-20bms.pdf,595-CD4518BM
U9,4518,Package_SO:SOP-16_3.9x9.9mm_P1.27mm,http://www.intersil.com/content/dam/Intersil/documents/cd45/cd4518bms-20bms.pdf,595-CD4518BM
U29,74LS157,Package_SO:SOP-16_3.9x9.9mm_P1.27mm,http://www.ti.com/lit/gpn/sn74LS157,595-SN74HCT157D 
U7,74LS157,Package_SO:SOP-16_3.9x9.9mm_P1.27mm,http://www.ti.com/lit/gpn/sn74LS157,595-SN74HCT157D 
U2,74LS175,Package_SO:SOP-16_3.9x9.9mm_P1.27mm,http://www.ti.com/lit/gpn/sn74LS175,595-CD74HCT175M 
U28,74LS175,Package_SO:SOP-16_3.9x9.9mm_P1.27mm,http://www.ti.com/lit/gpn/sn74LS175,595-CD74HCT175M 
RV2,10K,Potentiometer_THT:Potentiometer_Bourns_3266W_Vertical,~,
RV1,50K,Potentiometer_THT:Potentiometer_Bourns_3266W_Vertical,~,
R17,150,Resistor_SMD:R_0805_2012Metric,~,
R18,150,Resistor_SMD:R_0805_2012Metric,~,
R19,150,Resistor_SMD:R_0805_2012Metric,~,
R20,150,Resistor_SMD:R_0805_2012Metric,~,
R21,470,Resistor_SMD:R_0805_2012Metric,~,
R22,470,Resistor_SMD:R_0805_2012Metric,~,
R24,470,Resistor_SMD:R_0805_2012Metric,~,
R25,470,Resistor_SMD:R_0805_2012Metric,~,
R26,470,Resistor_SMD:R_0805_2012Metric,~,
R27,470,Resistor_SMD:R_0805_2012Metric,~,
R28,470,Resistor_SMD:R_0805_2012Metric,~,
R29,470,Resistor_SMD:R_0805_2012Metric,~,
R30,470,Resistor_SMD:R_0805_2012Metric,~,
R31,470,Resistor_SMD:R_0805_2012Metric,~,
R10,10K,Resistor_SMD:R_0805_2012Metric,~,
R12,10K,Resistor_SMD:R_0805_2012Metric,~,
R14,10K,Resistor_SMD:R_0805_2012Metric,~,
R23,10K,Resistor_SMD:R_0805_2012Metric,~,
R3,10K,Resistor_SMD:R_0805_2012Metric,~,
R4,10K,Resistor_SMD:R_0805_2012Metric,~,
R5,10K,Resistor_SMD:R_0805_2012Metric,~,
R6,10K,Resistor_SMD:R_0805_2012Metric,~,
R7,10K,Resistor_SMD:R_0805_2012Metric,~,
R8,10K,Resistor_SMD:R_0805_2012Metric,~,
R9,10K,Resistor_SMD:R_0805_2012Metric,~,
R11,1K,Resistor_SMD:R_0805_2012Metric,~,
R1,200K,Resistor_SMD:R_0805_2012Metric,~,
R13,20K,Resistor_SMD:R_0805_2012Metric,~,
R15,4K7,Resistor_SMD:R_0805_2012Metric,~,
R16,4K7,Resistor_SMD:R_0805_2012Metric,~,
R2,4K7,Resistor_SMD:R_0805_2012Metric,~,
