Reference, Value, Footprint, Datasheet
"C35","1uF","Capacitor_SMD:C_0805_2012Metric","~"
"C36","1uF","Capacitor_SMD:C_0805_2012Metric","~"
"C40","1uF","Capacitor_SMD:C_0805_2012Metric","~"
"C37","1uF","Capacitor_SMD:C_0805_2012Metric","~"
"C33","1uF","Capacitor_SMD:C_0805_2012Metric","~"
"C34","1uF","Capacitor_SMD:C_0805_2012Metric","~"
"C38","1uF","Capacitor_SMD:C_0805_2012Metric","~"
"C15","1uF","Capacitor_SMD:C_0805_2012Metric","~"
"C20","1uF","Capacitor_SMD:C_0805_2012Metric","~"
"C10","1uF","Capacitor_SMD:C_0805_2012Metric","~"
"C11","1uF","Capacitor_SMD:C_0805_2012Metric","~"
"C13","1uF","Capacitor_SMD:C_0805_2012Metric","~"
"C26","1uF","Capacitor_SMD:C_0805_2012Metric","~"
"C27","1uF","Capacitor_SMD:C_0805_2012Metric","~"
"C23","1uF","Capacitor_SMD:C_0805_2012Metric","~"
"C28","1uF","Capacitor_SMD:C_0805_2012Metric","~"
"C30","1uF","Capacitor_SMD:C_0805_2012Metric","~"
"R52","10k","Resistor_SMD:R_0805_2012Metric","~"
"R51","10k","Resistor_SMD:R_0805_2012Metric","~"
"RV10","R_POT_Dual","wilson-z80:Potentiometer_Alps_RK097_Dual_Horizontal","~"
"C45","1uF","Capacitor_SMD:C_0805_2012Metric","~"
"C47","1uF","Capacitor_SMD:C_0805_2012Metric","~"
"C46","1uF","Capacitor_SMD:C_0805_2012Metric","~"
"C48","1uF","Capacitor_SMD:C_0805_2012Metric","~"
"U18","TPA6111A2DR","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
"R58","10k","Resistor_SMD:R_0805_2012Metric","~"
"R53","10k","Resistor_SMD:R_0805_2012Metric","~"
"R55","15k","Resistor_SMD:R_0805_2012Metric","~"
"C44","100n","Capacitor_SMD:C_0805_2012Metric","~"
"R56","15k","Resistor_SMD:R_0805_2012Metric","~"
"C43","100uF","Capacitor_SMD:CP_Elec_6.3x5.4","~"
"R54","10k","Resistor_SMD:R_0805_2012Metric","~"
"R57","10k","Resistor_SMD:R_0805_2012Metric","~"
"J2","AudioJack3","wilson-z80:SWITCHCRAFT_35RAPC4BHN2","~"
"C49","100uF","Capacitor_SMD:CP_Elec_6.3x5.4","~"
"C50","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C51","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C52","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C53","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C54","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C55","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C56","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C57","100n","Capacitor_SMD:C_0805_2012Metric","~"
