Reference, Value, Footprint, Datasheet
"R13","10K","Resistor_SMD:R_0805_2012Metric","~"
"U11","ATF22V10C","Package_DIP:DIP-24_W7.62mm_Socket",""
"U14","74LS244","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","http://www.ti.com/lit/ds/symlink/sn74ls244.pdf"
"R1","10K","Resistor_SMD:R_0805_2012Metric","~"
"U4","74LS74","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","74xx/74hc_hct74.pdf"
"R5","910","Resistor_SMD:R_0805_2012Metric","~"
"R6","750","Resistor_SMD:R_0805_2012Metric","~"
"R9","510","Resistor_SMD:R_0805_2012Metric","~"
"Q1","2N3904","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF"
"U16","74LS163","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS163"
"R12","10K","Resistor_SMD:R_0805_2012Metric","~"
"X1","SG-7050CAN","Oscillator:Oscillator_SMD_SeikoEpson_SG8002CA-4Pin_7.0x5.0mm","https://support.epson.biz/td/api/doc_check.php?dl=brief_SG7050CAN&lang=en"
"U10","74LS163","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS163"
"R3","optional","Resistor_SMD:R_0805_2012Metric","~"
"U12","74LS374","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS374"
"Q2","BSS138","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BSS138-D.PDF"
"R8","100","Resistor_SMD:R_0805_2012Metric","~"
"J5","TRS80W-header","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical",""
"R11","100","Resistor_SMD:R_0805_2012Metric","~"
"Q4","BSS138","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BSS138-D.PDF"
"C7","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C8","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C9","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C10","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C11","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C12","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C13","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C14","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C15","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C16","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C17","100n","Capacitor_SMD:C_0805_2012Metric","~"
"J3","Conn_Coaxial","wilson-z80:AV-5"," ~"
"U17","74LS166","Package_SO:SO-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS166"
"Q3","2N3906","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/2N3906-D.PDF"
"R7","75","Resistor_SMD:R_0805_2012Metric","~"
"J4","Conn_01x09_Male","Connector_PinHeader_2.54mm:PinHeader_1x09_P2.54mm_Vertical","~"
"C18","100n","Capacitor_SMD:C_0805_2012Metric","~"
